County,Year,Indicator,Value,Regional Economic Blocs,Event
Kakamega,2018,Production (MT),238290.55,Lake Region Economic Bloc (LREB),No Significant Events
Kakamega,2018,Yield(MT/HA),2.498144925,Lake Region Economic Bloc (LREB),No Significant Events
Kakamega,2020,Area (HA),83773,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kakamega,2020,Production (MT),226888.01,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kakamega,2020,Yield(MT/HA),2.708366777,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kericho,2012,Area (HA),41971,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2012,Production (MT),98549.19,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2012,Yield(MT/HA),2.348030545,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2013,Area (HA),41170,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2013,Production (MT),80021.52,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2013,Yield(MT/HA),1.943685208,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2014,Area (HA),41041,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2014,Production (MT),68913,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2014,Yield(MT/HA),1.679125752,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kericho,2015,Area (HA),39602,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2015,Production (MT),85698,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2015,Yield(MT/HA),2.163981617,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2016,Area (HA),38086,Lake Region Economic Bloc (LREB),Drought Year
Kericho,2016,Production (MT),91832,Lake Region Economic Bloc (LREB),Drought Year
Kericho,2016,Yield(MT/HA),2.41117471,Lake Region Economic Bloc (LREB),Drought Year
Kericho,2017,Area (HA),32843,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2017,Production (MT),103245,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2017,Yield(MT/HA),3.143592242,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kericho,2018,Area (HA),33461,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2018,Production (MT),105402.15,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2018,Yield(MT/HA),3.15,Lake Region Economic Bloc (LREB),No Significant Events
Kericho,2020,Area (HA),34397,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kericho,2020,Production (MT),92730.9,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kericho,2020,Yield(MT/HA),2.695900805,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kiambu,2012,Area (HA),44821,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2012,Production (MT),27831.24,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2012,Yield(MT/HA),0.620941969,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2013,Area (HA),43210,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2013,Production (MT),21609.45,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2013,Yield(MT/HA),0.500102985,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2014,Area (HA),24450,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2014,Production (MT),7384,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2014,Yield(MT/HA),0.30200409,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kiambu,2015,Area (HA),33357,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2015,Production (MT),58260,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2015,Yield(MT/HA),1.746559942,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2016,Area (HA),39670,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kiambu,2016,Production (MT),55837,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kiambu,2016,Yield(MT/HA),1.407537182,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kiambu,2017,Area (HA),41322,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2017,Production (MT),35506,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2017,Yield(MT/HA),0.85925173,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kiambu,2018,Area (HA),29434,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2018,Production (MT),32219,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2018,Yield(MT/HA),1.094618468,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kiambu,2020,Area (HA),31528,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kiambu,2020,Production (MT),43258.98,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kiambu,2020,Yield(MT/HA),1.372081325,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kilifi,2012,Area (HA),70672,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2012,Production (MT),18624.78,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2012,Yield(MT/HA),0.263538318,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2013,Area (HA),647,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2013,Production (MT),310.14,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2013,Yield(MT/HA),0.47935085,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2014,Area (HA),653,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2014,Production (MT),300,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2014,Yield(MT/HA),0.45941807,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kilifi,2015,Area (HA),88592,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2015,Production (MT),103830,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2015,Yield(MT/HA),1.172001987,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2016,Area (HA),66396,Jumuia ya Kaunti za Pwani,Drought Year
Kilifi,2016,Production (MT),28114,Jumuia ya Kaunti za Pwani,Drought Year
Kilifi,2016,Yield(MT/HA),0.423429122,Jumuia ya Kaunti za Pwani,Drought Year
Kilifi,2017,Area (HA),61225,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2017,Production (MT),48121,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2017,Yield(MT/HA),0.785969784,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kilifi,2018,Area (HA),60617,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2018,Production (MT),54675.35,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2018,Yield(MT/HA),0.901980468,Jumuia ya Kaunti za Pwani,No Significant Events
Kilifi,2020,Area (HA),71781.9,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Kilifi,2020,Production (MT),44584.63,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Kilifi,2020,Yield(MT/HA),0.621112425,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Kirinyaga,2012,Area (HA),31935,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2012,Production (MT),46561.95,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2012,Yield(MT/HA),1.458022546,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2013,Area (HA),40103,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2013,Production (MT),48237.12,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2013,Yield(MT/HA),1.202830711,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2014,Area (HA),32992,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2014,Production (MT),37183,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2014,Yield(MT/HA),1.127030795,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Kirinyaga,2015,Area (HA),38181,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2015,Production (MT),58896,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2015,Yield(MT/HA),1.54254734,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2016,Area (HA),34776,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kirinyaga,2016,Production (MT),30168,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kirinyaga,2016,Yield(MT/HA),0.867494824,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Kirinyaga,2017,Area (HA),36795,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2017,Production (MT),37756,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2017,Yield(MT/HA),1.026117679,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Kirinyaga,2018,Area (HA),30877,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2018,Production (MT),33347.18,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2018,Yield(MT/HA),1.080000648,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Kirinyaga,2020,Area (HA),30505,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kirinyaga,2020,Production (MT),40280.83,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kirinyaga,2020,Yield(MT/HA),1.320466481,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Kisii,2012,Area (HA),59635,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2012,Production (MT),97512.84,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2012,Yield(MT/HA),1.635161231,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2013,Area (HA),63710,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2013,Production (MT),131023.26,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2013,Yield(MT/HA),2.056557212,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2014,Area (HA),62210,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2014,Production (MT),119703,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2014,Yield(MT/HA),1.924176177,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisii,2015,Area (HA),76160,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2015,Production (MT),100231,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2015,Yield(MT/HA),1.316058298,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2016,Area (HA),73253,Lake Region Economic Bloc (LREB),Drought Year
Kisii,2016,Production (MT),96054,Lake Region Economic Bloc (LREB),Drought Year
Kisii,2016,Yield(MT/HA),1.311263703,Lake Region Economic Bloc (LREB),Drought Year
Kisii,2017,Area (HA),75038,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2017,Production (MT),168102,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2017,Yield(MT/HA),2.240224953,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisii,2018,Area (HA),74162,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2018,Production (MT),154181.9,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2018,Yield(MT/HA),2.078987891,Lake Region Economic Bloc (LREB),No Significant Events
Kisii,2020,Area (HA),67285.5,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kisii,2020,Production (MT),132789.63,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kisii,2020,Yield(MT/HA),1.973525202,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kisumu,2012,Area (HA),33395,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2012,Production (MT),97512.93,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2012,Yield(MT/HA),2.919985926,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2013,Area (HA),32069,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2013,Production (MT),61452.54,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2013,Yield(MT/HA),1.91625994,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2014,Area (HA),27150,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2014,Production (MT),54651,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2014,Yield(MT/HA),2.012928177,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Kisumu,2015,Area (HA),34564,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2015,Production (MT),41699,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2015,Yield(MT/HA),1.206428654,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2016,Area (HA),52074,Lake Region Economic Bloc (LREB),Drought Year
Kisumu,2016,Production (MT),20605,Lake Region Economic Bloc (LREB),Drought Year
Kisumu,2016,Yield(MT/HA),0.395686907,Lake Region Economic Bloc (LREB),Drought Year
Kisumu,2017,Area (HA),51096,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2017,Production (MT),53777,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2017,Yield(MT/HA),1.052469861,Lake Region Economic Bloc (LREB),Post Election Political Tension
Kisumu,2018,Area (HA),50470,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2018,Production (MT),70913.5,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2018,Yield(MT/HA),1.405062413,Lake Region Economic Bloc (LREB),No Significant Events
Kisumu,2020,Area (HA),46307,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kisumu,2020,Production (MT),67306.55,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kisumu,2020,Yield(MT/HA),1.453485434,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Kitui,2012,Area (HA),77210,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2012,Production (MT),55238.04,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2012,Yield(MT/HA),0.715425981,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2013,Area (HA),93600,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2013,Production (MT),37499.49,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2013,Yield(MT/HA),0.400635577,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2014,Area (HA),84763,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2014,Production (MT),30585,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2014,Yield(MT/HA),0.360829607,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Kitui,2015,Area (HA),88840,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2015,Production (MT),48470,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2015,Yield(MT/HA),0.545587573,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2016,Area (HA),87751,South-Eastern Kenya Economic Bloc,Drought Year
Kitui,2016,Production (MT),7433,South-Eastern Kenya Economic Bloc,Drought Year
Kitui,2016,Yield(MT/HA),0.084705587,South-Eastern Kenya Economic Bloc,Drought Year
Kitui,2017,Area (HA),69833,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2017,Production (MT),10893,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2017,Yield(MT/HA),0.155986425,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Kitui,2018,Area (HA),80244,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2018,Production (MT),22966.65,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2018,Yield(MT/HA),0.286210184,South-Eastern Kenya Economic Bloc,No Significant Events
Kitui,2020,Area (HA),87252,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Kitui,2020,Production (MT),27959.98,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Kitui,2020,Yield(MT/HA),0.320450878,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Kwale,2012,Area (HA),39490,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2012,Production (MT),13224.69,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2012,Yield(MT/HA),0.33488706,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2013,Area (HA),39910,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2013,Production (MT),13245.21,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2013,Yield(MT/HA),0.331876973,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2014,Area (HA),34644,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2014,Production (MT),31473,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2014,Yield(MT/HA),0.908468999,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Kwale,2015,Area (HA),62675,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2015,Production (MT),77693,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2015,Yield(MT/HA),1.239617072,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2016,Area (HA),59978,Jumuia ya Kaunti za Pwani,Drought Year
Kwale,2016,Production (MT),20170,Jumuia ya Kaunti za Pwani,Drought Year
Kwale,2016,Yield(MT/HA),0.336289973,Jumuia ya Kaunti za Pwani,Drought Year
Kwale,2017,Area (HA),68955,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2017,Production (MT),80498,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2017,Yield(MT/HA),1.167399028,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Kwale,2018,Area (HA),68886,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2018,Production (MT),62102.75952,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2018,Yield(MT/HA),0.901529477,Jumuia ya Kaunti za Pwani,No Significant Events
Kwale,2020,Area (HA),56576,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Kwale,2020,Production (MT),34060.74,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Kwale,2020,Yield(MT/HA),0.602035139,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Laikipia,2012,Area (HA),36163,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2012,Production (MT),119852.01,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2012,Yield(MT/HA),3.314216464,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2013,Area (HA),5665,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2013,Production (MT),4978.71,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2013,Yield(MT/HA),0.878854369,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2014,Area (HA),6175,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2014,Production (MT),6471,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2014,Yield(MT/HA),1.047935223,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Laikipia,2015,Area (HA),30616,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2015,Production (MT),42554,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2015,Yield(MT/HA),1.389926836,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2016,Area (HA),273056,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Laikipia,2016,Production (MT),46655,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Laikipia,2016,Yield(MT/HA),0.170862387,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Laikipia,2017,Area (HA),24635,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2017,Production (MT),46553,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2017,Yield(MT/HA),1.889709763,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Laikipia,2018,Area (HA),26313,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2018,Production (MT),48007.3,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2018,Yield(MT/HA),1.824470794,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Laikipia,2020,Area (HA),26470,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Laikipia,2020,Production (MT),39421.82,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Laikipia,2020,Yield(MT/HA),1.489301851,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Lamu,2012,Area (HA),20127,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2012,Production (MT),19410.12,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2012,Yield(MT/HA),0.964382173,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2013,Area (HA),21324,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2013,Production (MT),33585.3,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2013,Yield(MT/HA),1.575,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2014,Area (HA),35261,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2014,Production (MT),35550,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2014,Yield(MT/HA),1.008196024,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Lamu,2015,Area (HA),21606,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2015,Production (MT),46129,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2015,Yield(MT/HA),2.135008794,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2016,Area (HA),17020,Jumuia ya Kaunti za Pwani,Drought Year
Lamu,2016,Production (MT),17973,Jumuia ya Kaunti za Pwani,Drought Year
Lamu,2016,Yield(MT/HA),1.055992949,Jumuia ya Kaunti za Pwani,Drought Year
Lamu,2017,Area (HA),25332,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2017,Production (MT),31344,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2017,Yield(MT/HA),1.23732828,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Lamu,2018,Area (HA),22704,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2018,Production (MT),29025,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2018,Yield(MT/HA),1.278409091,Jumuia ya Kaunti za Pwani,No Significant Events
Lamu,2020,Area (HA),37500,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Lamu,2020,Production (MT),28325,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Lamu,2020,Yield(MT/HA),0.755333333,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Machakos,2012,Area (HA),149338,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2012,Production (MT),90926.46,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2012,Yield(MT/HA),0.608863518,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2013,Area (HA),133408,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2013,Production (MT),92099.07,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2013,Yield(MT/HA),0.690356425,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2014,Area (HA),139090,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2014,Production (MT),62477,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2014,Yield(MT/HA),0.449183982,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Machakos,2015,Area (HA),125652,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2015,Production (MT),121682,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2015,Yield(MT/HA),0.968404801,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2016,Area (HA),86252,South-Eastern Kenya Economic Bloc,Drought Year
Machakos,2016,Production (MT),76144,South-Eastern Kenya Economic Bloc,Drought Year
Machakos,2016,Yield(MT/HA),0.882808515,South-Eastern Kenya Economic Bloc,Drought Year
Machakos,2017,Area (HA),129010,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2017,Production (MT),63984,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2017,Yield(MT/HA),0.495961553,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Machakos,2018,Area (HA),130298,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2018,Production (MT),81373.55,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2018,Yield(MT/HA),0.624518795,South-Eastern Kenya Economic Bloc,No Significant Events
Machakos,2020,Area (HA),133795,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Machakos,2020,Production (MT),40926.5,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Machakos,2020,Yield(MT/HA),0.305889607,South-Eastern Kenya Economic Bloc,COVID-19 Pandemic
Makueni,2012,Area (HA),102825,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Makueni,2012,Production (MT),71782.47,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Makueni,2012,Yield(MT/HA),0.698103282,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Makueni,2013,Area (HA),183338,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2013,Production (MT),82783.62,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2013,Yield(MT/HA),0.451535525,South-Eastern Kenya Economic Bloc,Post Election Political Tension
Makueni,2014,Area (HA),181089,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Makueni,2014,Production (MT),77440,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
Makueni,2014,Yield(MT/HA),0.42763503,South-Eastern Kenya Economic Bloc,Maize Lethal Necrosis Disease
